rank,name,score,iso_score,p_sum,d_nearest_m,n_adjacent,n_inner,n_outer,nuisance_mult,nuisance_flags,fame_mult,fame_flags,steps_matched,steps_match_dist_m,steps_total_length_m,steps_elev_diff_m,elev_low_precision,est_steps_min,est_steps_max,step_count_tag,road_dist_m,hokora,dist_home_km,lat,lon,osm,osm_url,link_gsi,link_gmap,link_sv,link_dir
17,合成第9辺社,47.86,47.86,1.8422,283.6,0,0,14,1.0,,1.0,,False,,,,False,,,,,False,63.6,35.149709,140.101384,node/2008,https://www.openstreetmap.org/node/2008,https://maps.gsi.go.jp/#17/35.149709/140.101384/,https://www.google.com/maps/search/?api=1&query=35.149709%2C140.101384,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.149709%2C140.101384,https://www.google.com/maps/dir/?api=1&destination=35.149709%2C140.101384&travelmode=driving
18,合成第10辺社,47.09,47.09,1.8829,268.0,0,0,11,1.0,,1.0,,False,,,,False,,,,,False,60.4,35.204207,140.154911,node/2009,https://www.openstreetmap.org/node/2009,https://maps.gsi.go.jp/#17/35.204207/140.154911/,https://www.google.com/maps/search/?api=1&query=35.204207%2C140.154911,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.204207%2C140.154911,https://www.google.com/maps/dir/?api=1&destination=35.204207%2C140.154911&travelmode=driving
19,合成第1辺社,43.77,43.77,2.0658,274.1,0,0,13,1.0,,1.0,,False,,,,False,,,,,False,61.4,35.169799,140.095576,node/2000,https://www.openstreetmap.org/node/2000,https://maps.gsi.go.jp/#17/35.169799/140.095576/,https://www.google.com/maps/search/?api=1&query=35.169799%2C140.095576,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.169799%2C140.095576,https://www.google.com/maps/dir/?api=1&destination=35.169799%2C140.095576&travelmode=driving
20,合成第4辺社,38.39,38.39,2.3933,248.2,0,0,15,1.0,,1.0,,False,,,,False,,,,,False,58.6,35.178179,140.039795,node/2003,https://www.openstreetmap.org/node/2003,https://maps.gsi.go.jp/#17/35.178179/140.039795/,https://www.google.com/maps/search/?api=1&query=35.178179%2C140.039795,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.178179%2C140.039795,https://www.google.com/maps/dir/?api=1&destination=35.178179%2C140.039795&travelmode=driving
21,合成第2辺社,33.25,33.25,2.753,191.2,0,0,12,1.0,,1.0,,False,,,,False,,,,,False,62.0,35.172554,140.118981,node/2001,https://www.openstreetmap.org/node/2001,https://maps.gsi.go.jp/#17/35.172554/140.118981/,https://www.google.com/maps/search/?api=1&query=35.172554%2C140.118981,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.172554%2C140.118981,https://www.google.com/maps/dir/?api=1&destination=35.172554%2C140.118981&travelmode=driving
22,合成第6村社,6.38,6.38,6.8791,105.9,0,2,29,1.0,,1.0,,False,,,,False,,,,,False,58.4,35.217638,140.137428,node/1005,https://www.openstreetmap.org/node/1005,https://maps.gsi.go.jp/#17/35.217638/140.137428/,https://www.google.com/maps/search/?api=1&query=35.217638%2C140.137428,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.217638%2C140.137428,https://www.google.com/maps/dir/?api=1&destination=35.217638%2C140.137428&travelmode=driving
23,合成第3村社,6.26,6.26,6.9271,71.3,1,4,22,1.0,,1.0,,False,,,,False,,,,,False,56.5,35.230116,140.122897,node/1002,https://www.openstreetmap.org/node/1002,https://maps.gsi.go.jp/#17/35.230116/140.122897/,https://www.google.com/maps/search/?api=1&query=35.230116%2C140.122897,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.230116%2C140.122897,https://www.google.com/maps/dir/?api=1&destination=35.230116%2C140.122897&travelmode=driving
24,合成第4村社,1.82,1.82,10.0214,43.7,0,10,22,1.0,,1.0,,False,,,,False,,,,,False,62.8,35.167344,140.125309,node/1003,https://www.openstreetmap.org/node/1003,https://maps.gsi.go.jp/#17/35.167344/140.125309/,https://www.google.com/maps/search/?api=1&query=35.167344%2C140.125309,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.167344%2C140.125309,https://www.google.com/maps/dir/?api=1&destination=35.167344%2C140.125309&travelmode=driving
25,合成第5村社,1.57,1.57,10.3828,42.5,0,8,27,1.0,,1.0,,False,,,,False,,,,,False,56.6,35.211169,140.078797,node/1004,https://www.openstreetmap.org/node/1004,https://maps.gsi.go.jp/#17/35.211169/140.078797/,https://www.google.com/maps/search/?api=1&query=35.211169%2C140.078797,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.211169%2C140.078797,https://www.google.com/maps/dir/?api=1&destination=35.211169%2C140.078797&travelmode=driving
26,合成第1村社,0.91,0.91,11.7459,65.1,1,5,42,1.0,,1.0,,False,,,,False,,,,,False,55.0,35.219398,140.058969,node/1000,https://www.openstreetmap.org/node/1000,https://maps.gsi.go.jp/#17/35.219398/140.058969/,https://www.google.com/maps/search/?api=1&query=35.219398%2C140.058969,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.219398%2C140.058969,https://www.google.com/maps/dir/?api=1&destination=35.219398%2C140.058969&travelmode=driving
27,合成第2村社,0.35,0.35,14.1549,41.8,2,8,48,1.0,,1.0,,False,,,,False,,,,,False,54.1,35.228391,140.058291,node/1001,https://www.openstreetmap.org/node/1001,https://maps.gsi.go.jp/#17/35.228391/140.058291/,https://www.google.com/maps/search/?api=1&query=35.228391%2C140.058291,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.228391%2C140.058291,https://www.google.com/maps/dir/?api=1&destination=35.228391%2C140.058291&travelmode=driving
28,合成第7村社,0.29,0.29,14.6052,66.9,0,5,54,1.0,,1.0,,False,,,,False,,,,,False,60.3,35.182318,140.099679,node/1006,https://www.openstreetmap.org/node/1006,https://maps.gsi.go.jp/#17/35.182318/140.099679/,https://www.google.com/maps/search/?api=1&query=35.182318%2C140.099679,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.182318%2C140.099679,https://www.google.com/maps/dir/?api=1&destination=35.182318%2C140.099679&travelmode=driving
29,合成第8村社,0.12,0.12,16.7813,40.5,0,11,48,1.0,,1.0,,False,,,,False,,,,,False,55.9,35.22487,140.095791,node/1007,https://www.openstreetmap.org/node/1007,https://maps.gsi.go.jp/#17/35.224870/140.095791/,https://www.google.com/maps/search/?api=1&query=35.224870%2C140.095791,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.224870%2C140.095791,https://www.google.com/maps/dir/?api=1&destination=35.224870%2C140.095791&travelmode=driving
